Year,Âge au décès,Sexe,Principales causes de décès,Value
2017,55 à 64 ans,Femmes,Maladie chronique et cirrhose du foie,12.4
2017,55 à 64 ans,Femmes,Accidents (blessures involontaires),18.2
2017,55 à 64 ans,Femmes,Lésions auto-infligées,8.5
2017,65 à 74 ans,Les deux sexes,Tumeurs malignes,612.2
2017,65 à 74 ans,Les deux sexes,Diabète sucré,43.4
2017,65 à 74 ans,Les deux sexes,Maladie d'Alzheimer,11.5
2017,65 à 74 ans,Les deux sexes,Maladies du coeur,247.3
2017,65 à 74 ans,Les deux sexes,Maladies cérébrovasculaires,50.5
2017,65 à 74 ans,Les deux sexes,Grippe et pneumopathie,20.5
2017,65 à 74 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,80.5
2017,65 à 74 ans,Les deux sexes,Maladie chronique et cirrhose du foie,28.3
2017,65 à 74 ans,Les deux sexes,Accidents (blessures involontaires),36.1
2017,65 à 74 ans,Les deux sexes,Lésions auto-infligées,11.0
2017,65 à 74 ans,Hommes,Tumeurs malignes,700.2
2017,65 à 74 ans,Hommes,Diabète sucré,56.9
2017,65 à 74 ans,Hommes,Maladie d'Alzheimer,10.5
2017,65 à 74 ans,Hommes,Maladies du coeur,349.8
2017,65 à 74 ans,Hommes,Maladies cérébrovasculaires,60.2
2017,65 à 74 ans,Hommes,Grippe et pneumopathie,24.9
2017,65 à 74 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,87.6
2017,65 à 74 ans,Hommes,Maladie chronique et cirrhose du foie,40.3
2017,65 à 74 ans,Hommes,Accidents (blessures involontaires),47.9
2017,65 à 74 ans,Hommes,Lésions auto-infligées,18.1
2017,65 à 74 ans,Femmes,Tumeurs malignes,529.8
2017,65 à 74 ans,Femmes,Diabète sucré,30.7
2017,65 à 74 ans,Femmes,Maladie d'Alzheimer,12.5
2017,65 à 74 ans,Femmes,Maladies du coeur,151.3
2017,65 à 74 ans,Femmes,Maladies cérébrovasculaires,41.5
2017,65 à 74 ans,Femmes,Grippe et pneumopathie,16.4
2017,65 à 74 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,73.8
2017,65 à 74 ans,Femmes,Maladie chronique et cirrhose du foie,17.1
2017,65 à 74 ans,Femmes,Accidents (blessures involontaires),25.1
2017,65 à 74 ans,Femmes,Lésions auto-infligées,4.3
2017,75 à 84 ans,Les deux sexes,Tumeurs malignes,1249.9
2017,75 à 84 ans,Les deux sexes,Diabète sucré,107.5
2017,75 à 84 ans,Les deux sexes,Maladie d'Alzheimer,90.2
2017,75 à 84 ans,Les deux sexes,Maladies du coeur,725.1
2017,75 à 84 ans,Les deux sexes,Maladies cérébrovasculaires,212.3
2017,75 à 84 ans,Les deux sexes,Grippe et pneumopathie,90.0
2017,75 à 84 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,229.0
2017,75 à 84 ans,Les deux sexes,Maladie chronique et cirrhose du foie,28.4
2017,75 à 84 ans,Les deux sexes,Accidents (blessures involontaires),106.9
2017,75 à 84 ans,Les deux sexes,Lésions auto-infligées,11.4
2017,75 à 84 ans,Hommes,Tumeurs malignes,1530.4
2017,75 à 84 ans,Hommes,Diabète sucré,140.3
2017,75 à 84 ans,Hommes,Maladie d'Alzheimer,84.0
2017,75 à 84 ans,Hommes,Maladies du coeur,935.4
2017,75 à 84 ans,Hommes,Maladies cérébrovasculaires,235.9
2017,75 à 84 ans,Hommes,Grippe et pneumopathie,98.3
2017,75 à 84 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,251.9
2017,75 à 84 ans,Hommes,Maladie chronique et cirrhose du foie,37.1
2017,75 à 84 ans,Hommes,Accidents (blessures involontaires),132.8
2017,75 à 84 ans,Hommes,Lésions auto-infligées,19.6
2017,75 à 84 ans,Femmes,Tumeurs malignes,1018.5
2017,75 à 84 ans,Femmes,Diabète sucré,80.4
2017,75 à 84 ans,Femmes,Maladie d'Alzheimer,95.2
2017,75 à 84 ans,Femmes,Maladies du coeur,551.7
2017,75 à 84 ans,Femmes,Maladies cérébrovasculaires,192.8
2017,75 à 84 ans,Femmes,Grippe et pneumopathie,83.1
2017,75 à 84 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,210.1
2017,75 à 84 ans,Femmes,Maladie chronique et cirrhose du foie,21.3
2017,75 à 84 ans,Femmes,Accidents (blessures involontaires),85.4
2017,75 à 84 ans,Femmes,Lésions auto-infligées,4.6
2017,85 ans et plus,Les deux sexes,Tumeurs malignes,2101.5
2017,85 ans et plus,Les deux sexes,Diabète sucré,271.8
2017,85 ans et plus,Les deux sexes,Maladie d'Alzheimer,577.1
2017,85 ans et plus,Les deux sexes,Maladies du coeur,3037.1
2017,85 ans et plus,Les deux sexes,Maladies cérébrovasculaires,888.3
2017,85 ans et plus,Les deux sexes,Grippe et pneumopathie,564.3
2017,85 ans et plus,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,591.9
2017,85 ans et plus,Les deux sexes,Maladie chronique et cirrhose du foie,32.7
2017,85 ans et plus,Les deux sexes,Accidents (blessures involontaires),516.9
2017,85 ans et plus,Les deux sexes,Lésions auto-infligées,12.9
2017,85 ans et plus,Hommes,Tumeurs malignes,2870.5
2017,85 ans et plus,Hommes,Diabète sucré,335.5
2017,85 ans et plus,Hommes,Maladie d'Alzheimer,452.2
2017,85 ans et plus,Hommes,Maladies du coeur,3446.9
2017,85 ans et plus,Hommes,Maladies cérébrovasculaires,844.1
2017,85 ans et plus,Hommes,Grippe et pneumopathie,631.4
2017,85 ans et plus,Hommes,Maladies chroniques des voies respiratoires inférieures,758.0
2017,85 ans et plus,Hommes,Maladie chronique et cirrhose du foie,46.0
2017,85 ans et plus,Hommes,Accidents (blessures involontaires),563.2
2017,85 ans et plus,Hommes,Lésions auto-infligées,28.2
2017,85 ans et plus,Femmes,Tumeurs malignes,1681.1
2017,85 ans et plus,Femmes,Diabète sucré,237.0
2017,85 ans et plus,Femmes,Maladie d'Alzheimer,645.3
2017,85 ans et plus,Femmes,Maladies du coeur,2813.1
2017,85 ans et plus,Femmes,Maladies cérébrovasculaires,912.6
2017,85 ans et plus,Femmes,Grippe et pneumopathie,527.7
2017,85 ans et plus,Femmes,Maladies chroniques des voies respiratoires inférieures,501.1
2017,85 ans et plus,Femmes,Maladie chronique et cirrhose du foie,25.4
2017,85 ans et plus,Femmes,Accidents (blessures involontaires),491.6
2017,85 ans et plus,Femmes,Lésions auto-infligées,4.5
2018,Tous les âges,Les deux sexes,Tumeurs malignes,215.3
2018,Tous les âges,Les deux sexes,Diabète sucré,18.5
2018,Tous les âges,Les deux sexes,Maladie d'Alzheimer,17.4
2018,Tous les âges,Les deux sexes,Maladies du coeur,146.3
2018,Tous les âges,Les deux sexes,Maladies cérébrovasculaires,36.6
2018,Tous les âges,Les deux sexes,Grippe et pneumopathie,23.2
2018,Tous les âges,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,35.3
2018,Tous les âges,Les deux sexes,Maladie chronique et cirrhose du foie,9.7
2018,Tous les âges,Les deux sexes,Accidents (blessures involontaires),43.2
2018,Tous les âges,Les deux sexes,Lésions auto-infligées,12.4
2018,Tous les âges,Hommes,Tumeurs malignes,229.4
2018,Tous les âges,Hommes,Diabète sucré,20.6
2018,Tous les âges,Hommes,Maladie d'Alzheimer,11.4
2018,Tous les âges,Hommes,Maladies du coeur,159.8
2018,Tous les âges,Hommes,Maladies cérébrovasculaires,31.4
2018,Tous les âges,Hommes,Grippe et pneumopathie,21.7
2018,Tous les âges,Hommes,Maladies chroniques des voies respiratoires inférieures,35.2
2018,Tous les âges,Hommes,Maladie chronique et cirrhose du foie,12.3
2018,Tous les âges,Hommes,Accidents (blessures involontaires),52.3
2018,Tous les âges,Hommes,Lésions auto-infligées,18.8
2018,Tous les âges,Femmes,Tumeurs malignes,201.3
2018,Tous les âges,Femmes,Diabète sucré,16.5
2018,Tous les âges,Femmes,Maladie d'Alzheimer,23.3
2018,Tous les âges,Femmes,Maladies du coeur,133.1
2018,Tous les âges,Femmes,Maladies cérébrovasculaires,41.7
2018,Tous les âges,Femmes,Grippe et pneumopathie,24.7
2018,Tous les âges,Femmes,Maladies chroniques des voies respiratoires inférieures,35.4
2018,Tous les âges,Femmes,Maladie chronique et cirrhose du foie,7.1
2018,Tous les âges,Femmes,Accidents (blessures involontaires),34.2
2018,Tous les âges,Femmes,Lésions auto-infligées,6.1
2018,1 à 14 ans,Les deux sexes,Tumeurs malignes,2.0
2018,1 à 14 ans,Les deux sexes,Diabète sucré,0.0
2018,1 à 14 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2018,1 à 14 ans,Les deux sexes,Maladies du coeur,0.3
2018,1 à 14 ans,Les deux sexes,Maladies cérébrovasculaires,0.1
2018,1 à 14 ans,Les deux sexes,Grippe et pneumopathie,0.5
2018,1 à 14 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2018,1 à 14 ans,Les deux sexes,Maladie chronique et cirrhose du foie,0.0
2018,1 à 14 ans,Les deux sexes,Accidents (blessures involontaires),2.5
2018,1 à 14 ans,Les deux sexes,Lésions auto-infligées,1.3
2018,1 à 14 ans,Hommes,Tumeurs malignes,2.4
2018,1 à 14 ans,Hommes,Diabète sucré,0.0
2018,1 à 14 ans,Hommes,Maladie d'Alzheimer,0.0
2018,1 à 14 ans,Hommes,Maladies du coeur,0.3
2018,1 à 14 ans,Hommes,Maladies cérébrovasculaires,0.2
2018,1 à 14 ans,Hommes,Grippe et pneumopathie,0.6
2018,1 à 14 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.2
2018,1 à 14 ans,Hommes,Maladie chronique et cirrhose du foie,0.0
2018,1 à 14 ans,Hommes,Accidents (blessures involontaires),2.8
2018,1 à 14 ans,Hommes,Lésions auto-infligées,1.1
2018,1 à 14 ans,Femmes,Tumeurs malignes,1.7
2018,1 à 14 ans,Femmes,Diabète sucré,0.0
2018,1 à 14 ans,Femmes,Maladie d'Alzheimer,0.0
2018,1 à 14 ans,Femmes,Maladies du coeur,0.4
2018,1 à 14 ans,Femmes,Maladies cérébrovasculaires,0.0
2018,1 à 14 ans,Femmes,Grippe et pneumopathie,0.5
2018,1 à 14 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.1
2018,1 à 14 ans,Femmes,Maladie chronique et cirrhose du foie,0.0
2018,1 à 14 ans,Femmes,Accidents (blessures involontaires),2.2
2018,1 à 14 ans,Femmes,Lésions auto-infligées,2.9
2018,15 à 24 ans,Les deux sexes,Tumeurs malignes,2.8
2018,15 à 24 ans,Les deux sexes,Diabète sucré,0.4
2018,15 à 24 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2018,15 à 24 ans,Les deux sexes,Maladies du coeur,1.1
2018,15 à 24 ans,Les deux sexes,Maladies cérébrovasculaires,0.3
2018,15 à 24 ans,Les deux sexes,Grippe et pneumopathie,0.3
2018,15 à 24 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.1
2018,15 à 24 ans,Les deux sexes,Maladie chronique et cirrhose du foie,0.2
2018,15 à 24 ans,Les deux sexes,Accidents (blessures involontaires),19.0
2018,15 à 24 ans,Les deux sexes,Lésions auto-infligées,13.7
2018,15 à 24 ans,Hommes,Tumeurs malignes,3.1
2018,15 à 24 ans,Hommes,Diabète sucré,0.2
2018,15 à 24 ans,Hommes,Maladie d'Alzheimer,0.0
2018,15 à 24 ans,Hommes,Maladies du coeur,1.4
2018,15 à 24 ans,Hommes,Maladies cérébrovasculaires,0.4
2018,15 à 24 ans,Hommes,Grippe et pneumopathie,0.4
2018,15 à 24 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.2
2018,15 à 24 ans,Hommes,Maladie chronique et cirrhose du foie,0.1
2018,15 à 24 ans,Hommes,Accidents (blessures involontaires),26.1
2018,15 à 24 ans,Hommes,Lésions auto-infligées,19.4
2018,15 à 24 ans,Femmes,Tumeurs malignes,2.3
2018,15 à 24 ans,Femmes,Diabète sucré,0.5
2018,15 à 24 ans,Femmes,Maladie d'Alzheimer,0.0
2018,15 à 24 ans,Femmes,Maladies du coeur,0.8
2018,15 à 24 ans,Femmes,Maladies cérébrovasculaires,0.2
2018,15 à 24 ans,Femmes,Grippe et pneumopathie,0.2
2018,15 à 24 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.1
2018,15 à 24 ans,Femmes,Maladie chronique et cirrhose du foie,0.4
2018,15 à 24 ans,Femmes,Accidents (blessures involontaires),11.5
2018,15 à 24 ans,Femmes,Lésions auto-infligées,7.7
2018,25 à 34 ans,Les deux sexes,Tumeurs malignes,7.1
2018,25 à 34 ans,Les deux sexes,Diabète sucré,0.9
2018,25 à 34 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2018,25 à 34 ans,Les deux sexes,Maladies du coeur,3.4
2018,25 à 34 ans,Les deux sexes,Maladies cérébrovasculaires,0.4
2018,25 à 34 ans,Les deux sexes,Grippe et pneumopathie,0.6
2018,25 à 34 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.2
2018,25 à 34 ans,Les deux sexes,Maladie chronique et cirrhose du foie,1.1
2018,25 à 34 ans,Les deux sexes,Accidents (blessures involontaires),33.5
2018,25 à 34 ans,Les deux sexes,Lésions auto-infligées,13.4
2018,25 à 34 ans,Hommes,Tumeurs malignes,6.4
2018,25 à 34 ans,Hommes,Diabète sucré,1.0
2018,25 à 34 ans,Hommes,Maladie d'Alzheimer,0.1
2018,25 à 34 ans,Hommes,Maladies du coeur,4.4
2018,25 à 34 ans,Hommes,Maladies cérébrovasculaires,0.4
2018,25 à 34 ans,Hommes,Grippe et pneumopathie,0.6
2018,25 à 34 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.3
2018,25 à 34 ans,Hommes,Maladie chronique et cirrhose du foie,0.8
2018,25 à 34 ans,Hommes,Accidents (blessures involontaires),49.7
2018,25 à 34 ans,Hommes,Lésions auto-infligées,19.9
2018,25 à 34 ans,Femmes,Tumeurs malignes,7.9
2018,25 à 34 ans,Femmes,Diabète sucré,0.8
2018,25 à 34 ans,Femmes,Maladie d'Alzheimer,0.0
2018,25 à 34 ans,Femmes,Maladies du coeur,2.3
2018,25 à 34 ans,Femmes,Maladies cérébrovasculaires,0.5
2018,25 à 34 ans,Femmes,Grippe et pneumopathie,0.7
2018,25 à 34 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.2
2018,25 à 34 ans,Femmes,Maladie chronique et cirrhose du foie,1.3
2018,25 à 34 ans,Femmes,Accidents (blessures involontaires),16.6
2018,25 à 34 ans,Femmes,Lésions auto-infligées,6.6
2018,35 à 44 ans,Les deux sexes,Tumeurs malignes,21.5
2018,35 à 44 ans,Les deux sexes,Diabète sucré,2.2
2018,35 à 44 ans,Les deux sexes,Maladie d'Alzheimer,0.0
2018,35 à 44 ans,Les deux sexes,Maladies du coeur,9.6
2018,35 à 44 ans,Les deux sexes,Maladies cérébrovasculaires,2.4
2018,35 à 44 ans,Les deux sexes,Grippe et pneumopathie,1.4
2018,35 à 44 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,0.5
2018,35 à 44 ans,Les deux sexes,Maladie chronique et cirrhose du foie,3.9
2018,35 à 44 ans,Les deux sexes,Accidents (blessures involontaires),33.1
2018,35 à 44 ans,Les deux sexes,Lésions auto-infligées,14.4
2018,35 à 44 ans,Hommes,Tumeurs malignes,18.6
2018,35 à 44 ans,Hommes,Diabète sucré,2.5
2018,35 à 44 ans,Hommes,Maladie d'Alzheimer,0.1
2018,35 à 44 ans,Hommes,Maladies du coeur,13.7
2018,35 à 44 ans,Hommes,Maladies cérébrovasculaires,3.0
2018,35 à 44 ans,Hommes,Grippe et pneumopathie,1.6
2018,35 à 44 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,0.6
2018,35 à 44 ans,Hommes,Maladie chronique et cirrhose du foie,4.3
2018,35 à 44 ans,Hommes,Accidents (blessures involontaires),49.5
2018,35 à 44 ans,Hommes,Lésions auto-infligées,22.2
2018,35 à 44 ans,Femmes,Tumeurs malignes,24.4
2018,35 à 44 ans,Femmes,Diabète sucré,1.8
2018,35 à 44 ans,Femmes,Maladie d'Alzheimer,0.0
2018,35 à 44 ans,Femmes,Maladies du coeur,5.5
2018,35 à 44 ans,Femmes,Maladies cérébrovasculaires,1.7
2018,35 à 44 ans,Femmes,Grippe et pneumopathie,1.2
2018,35 à 44 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,0.3
2018,35 à 44 ans,Femmes,Maladie chronique et cirrhose du foie,3.6
2018,35 à 44 ans,Femmes,Accidents (blessures involontaires),16.8
2018,35 à 44 ans,Femmes,Lésions auto-infligées,6.8
2018,45 à 54 ans,Les deux sexes,Tumeurs malignes,76.4
2018,45 à 54 ans,Les deux sexes,Diabète sucré,6.8
2018,45 à 54 ans,Les deux sexes,Maladie d'Alzheimer,0.1
2018,45 à 54 ans,Les deux sexes,Maladies du coeur,34.4
2018,45 à 54 ans,Les deux sexes,Maladies cérébrovasculaires,6.0
2018,45 à 54 ans,Les deux sexes,Grippe et pneumopathie,3.9
2018,45 à 54 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,3.4
2018,45 à 54 ans,Les deux sexes,Maladie chronique et cirrhose du foie,9.8
2018,45 à 54 ans,Les deux sexes,Accidents (blessures involontaires),35.2
2018,45 à 54 ans,Les deux sexes,Lésions auto-infligées,18.6
2018,45 à 54 ans,Hommes,Tumeurs malignes,72.3
2018,45 à 54 ans,Hommes,Diabète sucré,9.3
2018,45 à 54 ans,Hommes,Maladie d'Alzheimer,0.1
2018,45 à 54 ans,Hommes,Maladies du coeur,53.7
2018,45 à 54 ans,Hommes,Maladies cérébrovasculaires,7.0
2018,45 à 54 ans,Hommes,Grippe et pneumopathie,4.3
2018,45 à 54 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,3.1
2018,45 à 54 ans,Hommes,Maladie chronique et cirrhose du foie,12.8
2018,45 à 54 ans,Hommes,Accidents (blessures involontaires),52.1
2018,45 à 54 ans,Hommes,Lésions auto-infligées,28.0
2018,45 à 54 ans,Femmes,Tumeurs malignes,80.5
2018,45 à 54 ans,Femmes,Diabète sucré,4.4
2018,45 à 54 ans,Femmes,Maladie d'Alzheimer,0.2
2018,45 à 54 ans,Femmes,Maladies du coeur,15.4
2018,45 à 54 ans,Femmes,Maladies cérébrovasculaires,5.1
2018,45 à 54 ans,Femmes,Grippe et pneumopathie,3.4
2018,45 à 54 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,3.7
2018,45 à 54 ans,Femmes,Maladie chronique et cirrhose du foie,6.8
2018,45 à 54 ans,Femmes,Accidents (blessures involontaires),18.5
2018,45 à 54 ans,Femmes,Lésions auto-infligées,9.4
2018,55 à 64 ans,Les deux sexes,Tumeurs malignes,249.3
2018,55 à 64 ans,Les deux sexes,Diabète sucré,15.6
2018,55 à 64 ans,Les deux sexes,Maladie d'Alzheimer,1.2
2018,55 à 64 ans,Les deux sexes,Maladies du coeur,98.3
2018,55 à 64 ans,Les deux sexes,Maladies cérébrovasculaires,16.1
2018,55 à 64 ans,Les deux sexes,Grippe et pneumopathie,9.0
2018,55 à 64 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,20.8
2018,55 à 64 ans,Les deux sexes,Maladie chronique et cirrhose du foie,20.2
2018,55 à 64 ans,Les deux sexes,Accidents (blessures involontaires),35.3
2018,55 à 64 ans,Les deux sexes,Lésions auto-infligées,16.7
2018,55 à 64 ans,Hommes,Tumeurs malignes,266.6
2018,55 à 64 ans,Hommes,Diabète sucré,20.2
2018,55 à 64 ans,Hommes,Maladie d'Alzheimer,1.1
2018,55 à 64 ans,Hommes,Maladies du coeur,147.6
2018,55 à 64 ans,Hommes,Maladies cérébrovasculaires,19.4
2018,55 à 64 ans,Hommes,Grippe et pneumopathie,10.9
2018,55 à 64 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,22.8
2018,55 à 64 ans,Hommes,Maladie chronique et cirrhose du foie,27.6
2018,55 à 64 ans,Hommes,Accidents (blessures involontaires),53.4
2018,55 à 64 ans,Hommes,Lésions auto-infligées,25.6
2018,55 à 64 ans,Femmes,Tumeurs malignes,232.3
2018,55 à 64 ans,Femmes,Diabète sucré,11.0
2018,55 à 64 ans,Femmes,Maladie d'Alzheimer,1.4
2018,55 à 64 ans,Femmes,Maladies du coeur,49.9
2018,55 à 64 ans,Femmes,Maladies cérébrovasculaires,12.8
2018,55 à 64 ans,Femmes,Grippe et pneumopathie,7.1
2018,55 à 64 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,18.9
2018,55 à 64 ans,Femmes,Maladie chronique et cirrhose du foie,12.9
2018,55 à 64 ans,Femmes,Accidents (blessures involontaires),17.6
2018,55 à 64 ans,Femmes,Lésions auto-infligées,7.9
2018,65 à 74 ans,Les deux sexes,Tumeurs malignes,593.5
2018,65 à 74 ans,Les deux sexes,Diabète sucré,43.5
2018,65 à 74 ans,Les deux sexes,Maladie d'Alzheimer,9.8
2018,65 à 74 ans,Les deux sexes,Maladies du coeur,244.5
2018,65 à 74 ans,Les deux sexes,Maladies cérébrovasculaires,48.9
2018,65 à 74 ans,Les deux sexes,Grippe et pneumopathie,23.7
2018,65 à 74 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,79.4
2018,65 à 74 ans,Les deux sexes,Maladie chronique et cirrhose du foie,26.8
2018,65 à 74 ans,Les deux sexes,Accidents (blessures involontaires),38.4
2018,65 à 74 ans,Les deux sexes,Lésions auto-infligées,11.5
2018,65 à 74 ans,Hommes,Tumeurs malignes,681.7
2018,65 à 74 ans,Hommes,Diabète sucré,57.6
2018,65 à 74 ans,Hommes,Maladie d'Alzheimer,9.2
2018,65 à 74 ans,Hommes,Maladies du coeur,343.9
2018,65 à 74 ans,Hommes,Maladies cérébrovasculaires,57.5
2018,65 à 74 ans,Hommes,Grippe et pneumopathie,29.9
2018,65 à 74 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,85.8
2018,65 à 74 ans,Hommes,Maladie chronique et cirrhose du foie,36.1
2018,65 à 74 ans,Hommes,Accidents (blessures involontaires),50.3
2018,65 à 74 ans,Hommes,Lésions auto-infligées,17.8
2018,65 à 74 ans,Femmes,Tumeurs malignes,511.0
2018,65 à 74 ans,Femmes,Diabète sucré,30.3
2018,65 à 74 ans,Femmes,Maladie d'Alzheimer,10.3
2018,65 à 74 ans,Femmes,Maladies du coeur,151.5
2018,65 à 74 ans,Femmes,Maladies cérébrovasculaires,40.9
2018,65 à 74 ans,Femmes,Grippe et pneumopathie,18.0
2018,65 à 74 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,73.5
2018,65 à 74 ans,Femmes,Maladie chronique et cirrhose du foie,18.1
2018,65 à 74 ans,Femmes,Accidents (blessures involontaires),27.2
2018,65 à 74 ans,Femmes,Lésions auto-infligées,5.7
2018,75 à 84 ans,Les deux sexes,Tumeurs malignes,1222.8
2018,75 à 84 ans,Les deux sexes,Diabète sucré,100.0
2018,75 à 84 ans,Les deux sexes,Maladie d'Alzheimer,86.8
2018,75 à 84 ans,Les deux sexes,Maladies du coeur,702.1
2018,75 à 84 ans,Les deux sexes,Maladies cérébrovasculaires,200.2
2018,75 à 84 ans,Les deux sexes,Grippe et pneumopathie,99.1
2018,75 à 84 ans,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,232.2
2018,75 à 84 ans,Les deux sexes,Maladie chronique et cirrhose du foie,31.1
2018,75 à 84 ans,Les deux sexes,Accidents (blessures involontaires),115.3
2018,75 à 84 ans,Les deux sexes,Lésions auto-infligées,11.7
2018,75 à 84 ans,Hommes,Tumeurs malignes,1481.8
2018,75 à 84 ans,Hommes,Diabète sucré,124.2
2018,75 à 84 ans,Hommes,Maladie d'Alzheimer,78.9
2018,75 à 84 ans,Hommes,Maladies du coeur,907.5
2018,75 à 84 ans,Hommes,Maladies cérébrovasculaires,212.1
2018,75 à 84 ans,Hommes,Grippe et pneumopathie,118.2
2018,75 à 84 ans,Hommes,Maladies chroniques des voies respiratoires inférieures,257.1
2018,75 à 84 ans,Hommes,Maladie chronique et cirrhose du foie,40.7
2018,75 à 84 ans,Hommes,Accidents (blessures involontaires),137.8
2018,75 à 84 ans,Hommes,Lésions auto-infligées,21.6
2018,75 à 84 ans,Femmes,Tumeurs malignes,1007.4
2018,75 à 84 ans,Femmes,Diabète sucré,79.9
2018,75 à 84 ans,Femmes,Maladie d'Alzheimer,93.3
2018,75 à 84 ans,Femmes,Maladies du coeur,531.3
2018,75 à 84 ans,Femmes,Maladies cérébrovasculaires,190.3
2018,75 à 84 ans,Femmes,Grippe et pneumopathie,83.3
2018,75 à 84 ans,Femmes,Maladies chroniques des voies respiratoires inférieures,211.5
2018,75 à 84 ans,Femmes,Maladie chronique et cirrhose du foie,23.1
2018,75 à 84 ans,Femmes,Accidents (blessures involontaires),96.6
2018,75 à 84 ans,Femmes,Lésions auto-infligées,3.4
2018,85 ans et plus,Les deux sexes,Tumeurs malignes,2075.2
2018,85 ans et plus,Les deux sexes,Diabète sucré,257.6
2018,85 ans et plus,Les deux sexes,Maladie d'Alzheimer,541.7
2018,85 ans et plus,Les deux sexes,Maladies du coeur,3039.1
2018,85 ans et plus,Les deux sexes,Maladies cérébrovasculaires,830.3
2018,85 ans et plus,Les deux sexes,Grippe et pneumopathie,624.2
2018,85 ans et plus,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,559.8
2018,85 ans et plus,Les deux sexes,Maladie chronique et cirrhose du foie,28.6
2018,85 ans et plus,Les deux sexes,Accidents (blessures involontaires),555.0
2018,85 ans et plus,Les deux sexes,Lésions auto-infligées,11.4
2018,85 ans et plus,Hommes,Tumeurs malignes,2840.5
2018,85 ans et plus,Hommes,Diabète sucré,301.2
2018,85 ans et plus,Hommes,Maladie d'Alzheimer,427.7
2018,85 ans et plus,Hommes,Maladies du coeur,3465.4
2018,85 ans et plus,Hommes,Maladies cérébrovasculaires,760.7
2018,85 ans et plus,Hommes,Grippe et pneumopathie,686.7
2018,85 ans et plus,Hommes,Maladies chroniques des voies respiratoires inférieures,724.0
2018,85 ans et plus,Hommes,Maladie chronique et cirrhose du foie,42.5
2018,85 ans et plus,Hommes,Accidents (blessures involontaires),589.0
2018,85 ans et plus,Hommes,Lésions auto-infligées,24.2
2018,85 ans et plus,Femmes,Tumeurs malignes,1650.0
2018,85 ans et plus,Femmes,Diabète sucré,233.4
2018,85 ans et plus,Femmes,Maladie d'Alzheimer,605.0
2018,85 ans et plus,Femmes,Maladies du coeur,2802.3
2018,85 ans et plus,Femmes,Maladies cérébrovasculaires,869.0
2018,85 ans et plus,Femmes,Grippe et pneumopathie,589.5
2018,85 ans et plus,Femmes,Maladies chroniques des voies respiratoires inférieures,468.5
2018,85 ans et plus,Femmes,Maladie chronique et cirrhose du foie,20.9
2018,85 ans et plus,Femmes,Accidents (blessures involontaires),536.1
2018,85 ans et plus,Femmes,Lésions auto-infligées,4.2
2019,Tous les âges,Les deux sexes,Tumeurs malignes,213.8
2019,Tous les âges,Les deux sexes,Diabète sucré,18.6
2019,Tous les âges,Les deux sexes,Maladie d'Alzheimer,16.4
2019,Tous les âges,Les deux sexes,Maladies du coeur,142.0
2019,Tous les âges,Les deux sexes,Maladies cérébrovasculaires,36.5
2019,Tous les âges,Les deux sexes,Grippe et pneumopathie,18.5
2019,Tous les âges,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,34.3
2019,Tous les âges,Les deux sexes,Maladie chronique et cirrhose du foie,9.9
2019,Tous les âges,Les deux sexes,Accidents (blessures involontaires),41.7
2019,Tous les âges,Les deux sexes,Lésions auto-infligées,12.3
2019,Tous les âges,Hommes,Tumeurs malignes,229.8
